                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0805,                 1.6981,                 1.5834,                0.68048,                0.72079,                0.73546,                0.47522,                 1.1399,                 1.2345,                 1.7182,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.0755,                 1.6834,                  1.575,                0.69138,                0.67685,                0.72268,                0.46335,                 1.1403,                 1.2947,                 1.7274,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.0728,                 1.6648,                 1.5694,                0.67162,                0.67184,                 0.7147,                0.46651,                 1.1211,                 1.2582,                 1.6911,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.0527,                  1.642,                 1.5558,                0.66147,                0.69976,                0.73606,                  0.477,                 1.1634,                 1.2183,                 1.7194,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0582,                 1.6266,                 1.5592,                0.69047,                0.65618,                0.74494,                0.49535,                 1.0659,                 1.2085,                 1.6852,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.0459,                 1.6125,                 1.5417,                0.69101,                0.73498,                0.76293,                0.48634,                 1.1279,                 1.1529,                  1.724,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.0382,                 1.5905,                 1.5399,                0.80229,                 0.7108,                0.80155,                0.55514,                 1.0337,                   1.09,                 1.6106,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.0313,                 1.5896,                 1.5356,                0.79137,                0.71415,                0.80165,                0.53189,                 1.0457,                 1.1094,                 1.6419,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.0396,                 1.5687,                 1.5394,                0.70522,                0.76239,                0.78084,                0.51158,                 1.0512,                 1.1389,                 1.6497,               0.009604,               0.009604,               0.009604
                     42,                 1.0294,                 1.5719,                 1.5329,                0.79083,                0.72306,                0.81276,                0.54794,                 1.0925,                 1.0384,                 1.6781,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.0235,                 1.5215,                 1.5229,                  0.734,                0.75256,                0.81493,                 0.5573,                 1.0437,                 1.0349,                 1.6147,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.0302,                 1.5497,                 1.5247,                0.78531,                0.71156,                0.81142,                0.54182,                 1.0563,                  1.015,                 1.6396,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.0236,                 1.5181,                 1.5242,                0.71987,                0.72003,                0.79471,                 0.5478,                 1.0563,                 1.0714,                 1.6235,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.0188,                 1.5182,                 1.5231,                0.75861,                0.73839,                0.81952,                0.56097,                 1.0321,                 1.0571,                 1.6164,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.0091,                 1.5107,                 1.5112,                0.80277,                0.72088,                0.80287,                0.55922,                 1.0224,                 1.0628,                 1.6032,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.0081,                 1.4891,                 1.5074,                0.80099,                0.75121,                0.83379,                 0.5697,                 1.0004,                 1.0056,                 1.6036,              0.0095347,              0.0095347,              0.0095347
                     49,                0.99649,                 1.4929,                 1.5014,                0.75308,                0.72601,                0.80175,                0.55182,                 1.0079,                 1.0288,                 1.6078,              0.0095248,              0.0095248,              0.0095248
                     50,                0.99579,                 1.4556,                 1.5036,                0.73525,                0.77961,                  0.829,                0.56106,                 1.0467,                 1.0228,                 1.6251,              0.0095149,              0.0095149,              0.0095149
                     51,                 0.9842,                 1.4442,                 1.4859,                0.79246,                0.74246,                0.81909,                0.56648,                 1.0483,                 1.0148,                 1.6367,               0.009505,               0.009505,               0.009505
                     52,                0.97893,                 1.4307,                 1.4792,                0.84537,                0.78707,                0.86284,                0.59275,                 1.0315,                0.95267,                 1.6171,              0.0094951,              0.0094951,              0.0094951
                     53,                0.98836,                  1.466,                 1.4947,                0.80015,                0.75124,                0.83717,                 0.5753,                0.97781,                0.99532,                 1.5687,              0.0094852,              0.0094852,              0.0094852
                     54,                0.98224,                 1.4242,                 1.4848,                0.74392,                0.79242,                0.82111,                0.56352,                0.99713,                0.99683,                 1.5873,              0.0094753,              0.0094753,              0.0094753
                     55,                0.95597,                 1.4069,                 1.4694,                0.75477,                0.80483,                0.83866,                0.57306,                0.99646,                0.94022,                 1.5908,              0.0094654,              0.0094654,              0.0094654
                     56,                0.96658,                 1.4003,                 1.4749,                0.78165,                0.78336,                0.84653,                0.59631,                0.97481,                0.95536,                 1.5634,              0.0094555,              0.0094555,              0.0094555
                     57,                0.96163,                 1.4089,                 1.4684,                0.81399,                0.74706,                 0.8468,                0.59353,                0.99277,                0.91887,                 1.5655,              0.0094456,              0.0094456,              0.0094456
                     58,                0.95976,                 1.3932,                 1.4652,                0.81736,                0.75331,                0.86462,                0.61299,                0.95772,                0.91253,                 1.5484,              0.0094357,              0.0094357,              0.0094357
                     59,                0.95297,                 1.3772,                 1.4594,                0.82154,                 0.7453,                0.85497,                0.59315,                0.99156,                0.97252,                 1.5664,              0.0094258,              0.0094258,              0.0094258
                     60,                0.95256,                 1.3638,                 1.4594,                0.85126,                0.77064,                0.86623,                0.60689,                0.97812,                0.91376,                  1.591,              0.0094159,              0.0094159,              0.0094159
                     61,                0.95627,                 1.3737,                 1.4599,                0.79103,                0.76662,                0.85859,                0.59461,                0.94436,                0.94461,                 1.5572,               0.009406,               0.009406,               0.009406
                     62,                0.96295,                 1.3824,                 1.4674,                0.81665,                0.80496,                0.87482,                0.62037,                0.93957,                0.90037,                 1.5299,              0.0093961,              0.0093961,              0.0093961
                     63,                0.95838,                 1.3578,                  1.455,                0.82444,                0.84088,                0.87941,                0.63524,                0.92605,                0.85914,                 1.5484,              0.0093862,              0.0093862,              0.0093862
                     64,                0.94023,                  1.332,                  1.449,                0.85583,                0.75548,                0.87263,                0.60655,                0.98759,                0.88364,                 1.5717,              0.0093763,              0.0093763,              0.0093763
                     65,                0.94395,                 1.3394,                 1.4512,                0.78626,                0.85045,                0.88613,                0.62832,                 0.9844,                0.86022,                 1.5926,              0.0093664,              0.0093664,              0.0093664
                     66,                0.92155,                 1.3178,                 1.4282,                0.80359,                 0.7811,                0.85945,                0.61932,                0.99347,                0.87753,                 1.5819,              0.0093565,              0.0093565,              0.0093565
                     67,                0.93429,                 1.3249,                 1.4443,                0.84127,                0.85969,                0.90763,                0.64215,                0.92263,                 0.8093,                  1.522,              0.0093466,              0.0093466,              0.0093466
                     68,                0.93614,                 1.3034,                  1.443,                0.80936,                0.80399,                0.86684,                0.62578,                0.93584,                0.84443,                  1.534,              0.0093367,              0.0093367,              0.0093367
                     69,                0.91512,                 1.2884,                 1.4242,                0.81105,                0.84474,                0.88858,                0.63751,                0.93555,                0.81148,                 1.5229,              0.0093268,              0.0093268,              0.0093268
                     70,                0.91212,                 1.2808,                 1.4259,                0.86329,                0.79667,                0.88199,                0.62174,                0.96864,                 0.8324,                 1.5672,              0.0093169,              0.0093169,              0.0093169
                     71,                0.91143,                 1.2767,                 1.4147,                0.80913,                0.83815,                0.89292,                0.63162,                0.93122,                0.81876,                 1.5285,               0.009307,               0.009307,               0.009307
                     72,                0.91344,                 1.2877,                 1.4231,                 0.8708,                0.78414,                0.87999,                0.62844,                0.97976,                0.82746,                 1.5675,              0.0092971,              0.0092971,              0.0092971
                     73,                0.89799,                 1.2641,                 1.4149,                0.85956,                0.82547,                0.89832,                0.64448,                  0.921,                0.77605,                 1.5176,              0.0092872,              0.0092872,              0.0092872
                     74,                0.90122,                 1.2776,                 1.4154,                0.87502,                0.84766,                0.90427,                 0.6576,                0.94493,                 0.7493,                 1.5358,              0.0092773,              0.0092773,              0.0092773
                     75,                0.90391,                 1.2637,                 1.4174,                0.81846,                0.83511,                0.89702,                0.65162,                0.92456,                  0.795,                 1.5219,              0.0092674,              0.0092674,              0.0092674
                     76,                0.89554,                 1.2398,                 1.4064,                0.81525,                0.84427,                0.88464,                 0.6451,                0.92113,                0.79786,                 1.5152,              0.0092575,              0.0092575,              0.0092575
                     77,                0.90149,                 1.2385,                 1.4079,                0.85476,                0.80825,                0.87923,                0.64168,                0.90744,                 0.7928,                  1.494,              0.0092476,              0.0092476,              0.0092476
                     78,                0.90198,                 1.2495,                  1.413,                0.83838,                0.81134,                0.88336,                0.65689,                0.91397,                0.79017,                  1.499,              0.0092377,              0.0092377,              0.0092377
                     79,                0.88306,                 1.2278,                 1.3958,                0.81696,                0.87673,                0.89857,                0.66314,                0.90647,                0.76774,                 1.4929,              0.0092278,              0.0092278,              0.0092278
                     80,                0.88094,                 1.2211,                 1.3956,                0.84571,                0.81876,                0.88542,                 0.6526,                0.90463,                0.77995,                 1.5181,              0.0092179,              0.0092179,              0.0092179
                     81,                0.88051,                 1.2226,                 1.3984,                0.85296,                0.83996,                0.89504,                0.65405,                0.90744,                 0.7847,                 1.5073,               0.009208,               0.009208,               0.009208
                     82,                0.88154,                 1.2332,                 1.4019,                 0.8295,                0.85259,                0.89225,                0.65006,                 0.8869,                0.76791,                 1.4814,              0.0091981,              0.0091981,              0.0091981
                     83,                0.87929,                 1.2243,                 1.3986,                0.82514,                0.88664,                0.91082,                0.65658,                0.91672,                0.74867,                 1.5223,              0.0091882,              0.0091882,              0.0091882
                     84,                0.86826,                 1.1814,                 1.3852,                0.85108,                0.85954,                0.90049,                0.65193,                0.92901,                 0.7612,                 1.5271,              0.0091783,              0.0091783,              0.0091783
