                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.70216,                0.84337,                  1.231,                0.89597,                0.88967,                0.93852,                0.72623,                 0.7977,                0.58288,                 1.4375,              0.0096733,              0.0096733,              0.0096733
                     35,                0.69729,                 0.8423,                 1.2254,                0.94061,                0.92388,                0.96523,                0.74934,                0.76163,                0.51701,                 1.3702,              0.0096634,              0.0096634,              0.0096634
                     36,                0.69376,                0.83254,                 1.2268,                 0.8836,                0.91884,                0.94895,                0.73717,                0.79836,                0.57402,                 1.4108,              0.0096535,              0.0096535,              0.0096535
                     37,                0.68609,                0.81876,                 1.2166,                0.91582,                0.90613,                0.95211,                0.74687,                0.82112,                0.57615,                  1.436,              0.0096436,              0.0096436,              0.0096436
                     38,                0.67237,                 0.7957,                 1.2054,                  0.926,                0.92545,                0.95951,                0.76138,                0.78473,                0.51872,                 1.4083,              0.0096337,              0.0096337,              0.0096337
                     39,                0.66826,                0.78142,                 1.2006,                0.90768,                0.90543,                0.93784,                 0.7287,                0.80315,                0.57498,                 1.4297,              0.0096238,              0.0096238,              0.0096238
                     40,                0.66142,                0.79976,                 1.2041,                 0.9218,                0.91168,                0.94227,                0.72795,                0.78032,                0.55286,                 1.3936,              0.0096139,              0.0096139,              0.0096139
                     41,                0.66511,                0.77598,                  1.198,                0.93285,                0.92623,                0.96067,                0.74033,                 0.8461,                0.54623,                 1.4746,               0.009604,               0.009604,               0.009604
                     42,                0.66416,                 0.7854,                 1.2043,                  0.925,                0.93051,                0.96114,                0.76572,                0.74587,                0.53029,                 1.3716,              0.0095941,              0.0095941,              0.0095941
                     43,                0.66104,                0.76288,                 1.1983,                0.92533,                0.92725,                0.95825,                0.77012,                0.72625,                 0.4998,                 1.3361,              0.0095842,              0.0095842,              0.0095842
                     44,                0.65151,                 0.7677,                 1.1918,                0.95239,                0.93545,                0.96014,                0.75468,                0.74595,                0.51954,                 1.3771,              0.0095743,              0.0095743,              0.0095743
                     45,                0.65235,                0.75607,                  1.188,                0.92505,                0.93177,                0.95831,                0.74784,                0.77348,                0.52501,                 1.3968,              0.0095644,              0.0095644,              0.0095644
                     46,                 0.6449,                0.76114,                 1.1876,                0.91478,                 0.9271,                0.95963,                0.76014,                0.73668,                0.48358,                 1.3591,              0.0095545,              0.0095545,              0.0095545
                     47,                 0.6411,                0.74645,                 1.1842,                0.90373,                0.91579,                0.94422,                0.75339,                0.75124,                 0.5337,                 1.3702,              0.0095446,              0.0095446,              0.0095446
                     48,                0.64021,                0.74321,                 1.1847,                0.92753,                0.93363,                 0.9553,                 0.7441,                0.77052,                0.50903,                 1.3916,              0.0095347,              0.0095347,              0.0095347
                     49,                0.64207,                0.74626,                 1.1882,                0.93512,                 0.9131,                0.95506,                0.75527,                0.74959,                0.51242,                  1.379,              0.0095248,              0.0095248,              0.0095248
                     50,                0.62944,                0.73058,                 1.1816,                0.93079,                0.90916,                0.96071,                0.77002,                 0.7162,                0.49054,                 1.3387,              0.0095149,              0.0095149,              0.0095149
                     51,                 0.6276,                0.70878,                  1.169,                0.94811,                0.94739,                0.97065,                0.77907,                0.73441,                0.47007,                  1.362,               0.009505,               0.009505,               0.009505
                     52,                0.61397,                0.69097,                  1.157,                0.93856,                0.92363,                0.96156,                0.76623,                0.72824,                0.50724,                 1.3364,              0.0094951,              0.0094951,              0.0094951
                     53,                0.62086,                0.71416,                  1.173,                0.89334,                0.92787,                0.95202,                0.74683,                0.76362,                0.52262,                 1.3728,              0.0094852,              0.0094852,              0.0094852
                     54,                0.61811,                0.69535,                 1.1678,                0.92693,                0.92992,                 0.9599,                 0.7687,                0.72705,                0.49676,                 1.3278,              0.0094753,              0.0094753,              0.0094753
                     55,                0.60037,                0.68073,                 1.1564,                0.92742,                0.95372,                0.96705,                0.77313,                0.73668,                0.48862,                  1.361,              0.0094654,              0.0094654,              0.0094654
                     56,                0.60428,                0.68916,                 1.1553,                0.94933,                0.92603,                0.95985,                0.76146,                0.73817,                0.48004,                 1.3716,              0.0094555,              0.0094555,              0.0094555
                     57,                0.59785,                0.69458,                 1.1534,                0.92049,                0.92274,                 0.9579,                0.76256,                0.75554,                0.50465,                 1.3754,              0.0094456,              0.0094456,              0.0094456
                     58,                0.59132,                 0.6811,                 1.1472,                  0.916,                0.89356,                0.95027,                0.77713,                0.71667,                0.51607,                 1.3438,              0.0094357,              0.0094357,              0.0094357
                     59,                0.59012,                0.68145,                 1.1515,                0.93319,                0.90412,                0.95396,                0.76603,                0.72639,                0.51332,                 1.3402,              0.0094258,              0.0094258,              0.0094258
                     60,                0.58962,                0.66252,                 1.1516,                0.94518,                0.93226,                0.96001,                0.76731,                0.71727,                0.48504,                 1.3266,              0.0094159,              0.0094159,              0.0094159
                     61,                0.60197,                0.68397,                 1.1573,                0.91753,                0.93926,                 0.9578,                0.75979,                0.72769,                0.50913,                 1.3566,               0.009406,               0.009406,               0.009406
                     62,                0.59561,                0.68974,                 1.1491,                0.92063,                0.91131,                0.95917,                0.78003,                0.72982,                0.50274,                  1.345,              0.0093961,              0.0093961,              0.0093961
                     63,                0.59682,                0.66752,                 1.1524,                0.93341,                0.92336,                0.95108,                0.74367,                0.77341,                0.50895,                 1.4218,              0.0093862,              0.0093862,              0.0093862
                     64,                0.58746,                0.66455,                 1.1407,                0.91943,                0.94757,                0.96174,                0.76618,                0.73294,                0.47984,                 1.3437,              0.0093763,              0.0093763,              0.0093763
                     65,                0.58349,                0.65888,                 1.1429,                0.94554,                0.94344,                0.96279,                0.76885,                0.73653,                0.46292,                 1.3625,              0.0093664,              0.0093664,              0.0093664
                     66,                0.56107,                0.64129,                 1.1216,                0.93455,                0.94255,                0.96719,                0.77233,                0.73248,                0.47318,                 1.3693,              0.0093565,              0.0093565,              0.0093565
                     67,                 0.5816,                0.64965,                 1.1438,                0.95543,                0.92363,                0.96445,                0.77424,                0.73983,                0.45561,                 1.3854,              0.0093466,              0.0093466,              0.0093466
                     68,                0.57656,                0.63793,                 1.1377,                0.92786,                0.94024,                0.96536,                  0.765,                0.74694,                0.45884,                 1.3636,              0.0093367,              0.0093367,              0.0093367
                     69,                0.56005,                0.62905,                 1.1215,                0.91295,                 0.9526,                0.96652,                0.78119,                0.70902,                0.43916,                 1.3398,              0.0093268,              0.0093268,              0.0093268
                     70,                0.56424,                0.63845,                  1.128,                0.94433,                0.93933,                0.96256,                0.78445,                0.68628,                0.47488,                 1.3226,              0.0093169,              0.0093169,              0.0093169
                     71,                0.54821,                0.61002,                 1.1119,                0.92031,                 0.9528,                0.96612,                0.79356,                0.70264,                0.43821,                 1.3358,               0.009307,               0.009307,               0.009307
                     72,                0.55711,                0.61945,                 1.1235,                0.93058,                0.94624,                0.96629,                0.76531,                0.74684,                0.46301,                 1.3719,              0.0092971,              0.0092971,              0.0092971
                     73,                0.54839,                0.61791,                 1.1221,                0.91769,                0.94875,                0.96564,                0.77281,                0.74649,                0.47242,                 1.3797,              0.0092872,              0.0092872,              0.0092872
                     74,                 0.5594,                0.62765,                 1.1263,                0.92004,                0.93973,                0.95707,                0.76942,                0.73206,                0.48961,                 1.3637,              0.0092773,              0.0092773,              0.0092773
                     75,                0.54972,                0.61027,                 1.1212,                0.95017,                0.93812,                0.96854,                0.78879,                0.68622,                0.43124,                 1.3112,              0.0092674,              0.0092674,              0.0092674
                     76,                0.54274,                0.60352,                 1.1161,                0.93111,                 0.9446,                0.96394,                0.78556,                0.70889,                0.45519,                 1.3232,              0.0092575,              0.0092575,              0.0092575
                     77,                0.55036,                0.59796,                 1.1157,                0.93395,                0.90945,                0.95945,                0.78044,                0.69039,                 0.4714,                 1.3173,              0.0092476,              0.0092476,              0.0092476
                     78,                0.54148,                0.59458,                 1.1138,                0.95369,                0.93458,                0.96561,                0.79011,                0.71187,                0.44509,                 1.3211,              0.0092377,              0.0092377,              0.0092377
                     79,                 0.5357,                0.59462,                  1.107,                 0.8831,                0.94775,                0.95467,                0.77759,                0.69726,                0.47225,                  1.312,              0.0092278,              0.0092278,              0.0092278
                     80,                0.54222,                0.59985,                 1.1157,                0.93558,                0.93877,                0.96439,                 0.7873,                0.70905,                0.43621,                 1.3417,              0.0092179,              0.0092179,              0.0092179
